,user_id,age,drinks_coffee,height,drinks_tea,cs_student
0,13524,<21,0,64.53817904453359,0,0
1,5589,>=21,1,65.82424888787415,0,0
2,6177,<21,0,71.31985411358406,0,1
3,23622,>=21,1,68.56940373214746,0,0
4,18759,<21,1,64.02022563141807,0,1
5,11223,<21,0,63.49177975817109,1,0
6,14985,>=21,1,70.82845531963768,0,1
7,17082,>=21,0,75.22804585857683,0,0
8,7854,<21,0,66.35323070378948,1,0
9,7101,>=21,1,66.2086558318893,0,0
10,11349,<21,0,63.01199819464516,1,0
11,18306,>=21,1,68.90568627078885,0,1
12,5580,<21,1,62.64682032613945,1,1
13,16626,>=21,1,70.63973052501187,1,1
14,17622,<21,0,63.915515353328715,0,1
15,15765,>=21,1,71.81563046227366,0,1
16,21111,>=21,1,67.24423540093143,1,1
17,6393,>=21,1,68.64132385451472,0,1
18,11076,>=21,1,68.83543375264664,0,1
19,22854,<21,0,67.58447731785354,0,0
20,19032,<21,0,66.64307077402935,0,0
21,10950,<21,0,63.353893890627134,0,0
22,24531,>=21,1,67.12843175533622,1,1
23,7158,>=21,1,70.54635765778359,1,1
24,16377,>=21,1,72.13547380179973,1,1
25,14010,>=21,1,71.24221067361245,0,1
26,24231,>=21,1,67.53267631315353,0,1
27,9210,<21,1,64.74170063905193,0,1
28,6609,<21,0,67.11177964711722,1,0
29,18786,<21,0,66.6553427227113,0,0
30,15477,>=21,1,70.47637027816452,0,1
31,21957,>=21,1,68.03779296593163,0,1
32,14430,>=21,1,70.02329527822174,0,1
33,7848,>=21,0,70.28886481670483,1,1
34,9030,<21,0,65.12179883948183,0,0
35,11457,<21,0,63.86538088080749,0,1
36,7674,>=21,1,71.46065628864498,1,0
37,16680,>=21,1,68.99034245722872,1,1
38,13935,<21,1,63.56405070951955,0,1
39,6429,>=21,1,71.39575220072047,0,1
40,21117,<21,0,65.65030152414643,0,0
41,11412,<21,1,63.791531490140656,1,0
42,7311,>=21,1,66.50225130841665,1,1
43,23241,>=21,1,71.53781258216688,1,1
44,19437,>=21,1,66.2504210864586,0,1
45,10230,>=21,1,69.14041550365131,0,1
46,9510,>=21,1,70.21290234261433,1,1
47,6180,<21,0,69.48753863726854,1,1
48,5649,>=21,0,73.93499697921959,0,0
49,19785,<21,0,62.4944159377716,0,0
50,12189,>=21,1,67.30547501995457,0,1
51,16467,>=21,1,67.51257500144058,0,0
52,6084,<21,0,62.709129837646074,0,0
53,18600,<21,1,63.85486636260574,0,1
54,17235,<21,0,63.406755420981206,0,0
55,14934,>=21,1,68.66238796902174,0,0
56,16257,<21,0,62.10480145571656,0,0
57,17619,<21,0,64.1712869330812,1,1
58,10389,>=21,1,67.32523562545832,1,1
59,18795,>=21,1,69.17889340007943,1,1
60,16920,<21,0,60.101010728765964,1,1
61,11469,>=21,1,70.14204932332773,1,0
62,11970,<21,0,68.84734217356217,1,0
63,17022,<21,0,67.49948309839935,1,0
64,15696,>=21,1,72.47855650483115,0,1
65,17118,>=21,1,68.02667099289286,0,1
66,19839,<21,0,62.761851884651506,0,0
67,12648,<21,0,70.06784607638572,1,1
68,21060,>=21,1,69.96198557598365,1,1
69,12591,>=21,1,68.69368774720871,0,0
70,19824,>=21,1,71.28412476623228,0,1
71,12930,>=21,0,71.44697824181092,0,0
72,12579,<21,0,67.99207716294698,0,0
73,14592,>=21,1,68.46010304679466,1,1
74,14892,>=21,1,69.50501749550885,1,1
75,18411,>=21,0,72.6262687146877,1,1
76,6753,<21,1,65.27344131489511,0,0
77,18996,<21,0,73.22785153593169,0,0
78,18492,<21,0,72.88031962263327,0,1
79,10449,>=21,1,65.11531216360353,1,0
80,5772,<21,0,63.75598236779685,0,0
81,14973,>=21,1,66.65438484782098,0,1
